지역,확진자,치료중,사망자,격리해제,완치(%),발생률,인구수
경기,"9,162,219","8,931,789",1,"230,429",2.5,"69,146.90","13,250,368"
서울,"6,679,535","6,398,178",1,"281,356",4.2,"68,624.12","9,733,509"
부산,"2,073,735","2,028,320",N/A,"45,415",2.2,"60,780.92","3,411,819"
경남,"2,054,866","1,998,219",1,"56,646",2.8,"61,132.27","3,361,714"
인천,"1,966,704","1,890,440",1,"76,263",3.9,"66,529.93","2,956,119"
경북,"1,561,714","1,538,198",N/A,"23,516",1.5,"58,655.75","2,662,508"
대구,"1,497,206","1,433,909",2,"63,295",4.2,"61,449.35","2,436,488"
충남,"1,373,255","1,349,775",N/A,"23,480",1.7,"64,701.25","2,122,456"
전북,"1,152,065","1,121,679",N/A,"30,386",2.6,"63,394.25","1,817,702"
전남,"1,129,440","1,122,506",1,"6,933",0.6,"60,569.14","1,864,712"
충북,"1,061,773","1,032,279",N/A,"29,494",2.8,"66,386.08","1,596,485"
광주,"1,006,334","992,583",1,"13,751",1.4,"69,083.70","1,456,688"
대전,"1,001,090","984,081",1,"17,009",1.7,"67,905.90","1,474,152"
강원,"992,936","968,946",1,"23,990",2.4,"64,453.76","1,540,052"
울산,"730,136","710,321",1,"19,815",2.7,"63,654.07","1,147,037"
제주,"447,934","436,253",N/A,"11,681",2.6,"66,781.17","670,749"
세종,"269,980","262,656",N/A,"7,324",2.7,"78,865.88","342,328"
검역,"18,878","10,137",N/A,"8,741",46.3,N/A,N/A
